iter	Passed	Remaining
339	11733	11629
340	11767	11594
341	11802	11560
342	11835	11524
343	11871	11491
344	11906	11457
345	11941	11423
346	11973	11387
347	12009	11353
348	12041	11316
349	12077	11283
350	12113	11251
351	12146	11214
352	12181	11180
353	12214	11144
354	12249	11110
355	12281	11073
356	12315	11039
357	12346	11001
358	12379	10965
359	12413	10930
360	12449	10897
361	12481	10861
362	12512	10823
363	12545	10787
364	12578	10751
365	12611	10716
366	12643	10679
367	12677	10645
368	12726	10623
369	12770	10596
370	12808	10564
371	12847	10533
372	12883	10499
373	12917	10465
374	12954	10433
375	12989	10398
376	13024	10364
377	13060	10331
378	13097	10298
379	13134	10265
380	13170	10232
381	13206	10199
382	13240	10163
383	13272	10126
384	13306	10092
385	13341	10057
386	13374	10021
387	13408	9987
388	13443	9953
389	13476	9917
390	13511	9883
391	13546	9848
392	13580	9814
393	13613	9778
394	13647	9743
395	13691	9715
396	13729	9683
397	13763	9648
398	13798	9613
399	13835	9581
400	13871	9547
401	13908	9514
402	13946	9482
403	13983	9449
404	14017	9413
405	14049	9378
406	14083	9342
407	14116	9307
408	14150	9272
409	14186	9238
410	14221	9203
411	14258	9170
412	14295	9137
413	14328	9102
414	14362	9067
415	14397	9032
416	14433	8999
417	14469	8965
418	14506	8932
419	14540	8897
420	14573	8862
421	14607	8826
422	14641	8791
423	14680	8759
424	14715	8725
425	14747	8689
426	14780	8653
427	14813	8618
428	14847	8583
429	14880	8547
430	14912	8511
431	14946	8476
432	14980	8441
433	15012	8405
434	15045	8370
435	15079	8335
436	15111	8299
437	15144	8263
438	15179	8229
439	15212	8193
440	15245	8158
441	15278	8123
442	15312	8088
443	15348	8054
444	15380	8018
445	15413	7983
446	15448	7948
447	15482	7914
448	15516	7879
449	15551	7845
450	15582	7808
451	15616	7773
452	15646	7737
453	15682	7703
454	15719	7669
455	15754	7635
456	15787	7600
457	15824	7566
458	15856	7531
459	15893	7497
460	15923	7461
461	15956	7425
462	15990	7390
463	16027	7357
464	16063	7323
465	16099	7289
466	16134	7255
467	16168	7220
468	16205	7186
469	16239	7152
470	16273	7117
471	16305	7081
472	16340	7047
473	16377	7013
474	16411	6979
475	16443	6943
476	16479	6909
477	16512	6874
478	16548	6840
479	16580	6804
480	16612	6769
481	16647	6734
482	16684	6701
483	16719	6667
484	16753	6632
485	16787	6597
486	16819	6561
487	16851	6526
488	16885	6491
489	16917	6456
490	16952	6421
491	16987	6387
492	17019	6352
493	17054	6317
494	17089	6283
495	17122	6248
496	17154	6212
497	17188	6178
498	17222	6143
499	17256	6108
500	17289	6073
501	17324	6039
502	17358	6004
503	17392	5970
504	17424	5934
505	17456	5899
506	17489	5864
507	17523	5829
508	17557	5795
509	17590	5760
510	17625	5725
511	17662	5692
512	17698	5658
513	17732	5623
514	17767	5588
515	17800	5553
516	17832	5518
517	17865	5483
518	17896	5448
519	17930	5413
520	17964	5378
521	17995	5343
522	18030	5309
523	18064	5274
524	18099	5240
525	18130	5204
526	18165	5170
527	18196	5135
528	18229	5100
529	18261	5064
530	18294	5030
531	18330	4996
532	18361	4960
533	18394	4925
534	18426	4890
535	18458	4855
536	18492	4821
537	18525	4786
538	18560	4752
539	18595	4717
540	18629	4683
541	18671	4650
542	18713	4618
543	18757	4585
544	18795	4552
545	18835	4519
546	18873	4485
547	18913	4452
548	18950	4418
549	18989	4384
550	19022	4349
551	19057	4315
552	19093	4281
553	19126	4246
554	19161	4212
555	19194	4177
556	19232	4143
557	19269	4109
558	19306	4075
559	19340	4040
560	19376	4006
561	19409	3971
562	19445	3937
563	19478	3902
564	19512	3867
565	19548	3833
566	19580	3798
567	19611	3763
568	19646	3728
569	19683	3695
570	19721	3661
571	19756	3626
572	19794	3592
573	19832	3558
574	19871	3525
575	19907	3490
576	19946	3456
577	19985	3423
578	20021	3388
579	20058	3354
580	20100	3321
581	20142	3287
582	20183	3254
583	20223	3220
584	20259	3186
585	20297	3152
586	20337	3118
587	20373	3083
588	20409	3049
589	20446	3014
590	20481	2980
591	20517	2945
592	20552	2911
593	20588	2876
594	20625	2842
595	20666	2808
596	20701	2774
597	20733	2739
598	20766	2704
599	20801	2669
600	20838	2635
601	20872	2600
602	20908	2565
603	20944	2531
604	20982	2497
605	21017	2462
606	21052	2427
607	21089	2393
608	21126	2359
609	21164	2324
610	21201	2290
611	21233	2255
612	21265	2220
613	21299	2185
614	21332	2150
615	21367	2115
616	21402	2081
617	21436	2046
618	21472	2011
619	21508	1977
620	21543	1942
621	21578	1908
622	21611	1873
623	21647	1838
624	21680	1803
625	21718	1769
626	21751	1734
627	21787	1699
628	21820	1665
629	21857	1630
630	21892	1595
631	21924	1561
632	21957	1526
633	21993	1491
634	22027	1456
635	22062	1422
636	22095	1387
637	22129	1352
638	22162	1317
639	22194	1283
640	22227	1248
641	22259	1213
642	22293	1178
643	22327	1144
644	22358	1109
645	22393	1074
646	22426	1039
647	22460	1005
648	22492	970
649	22527	935
650	22560	901
651	22594	866
652	22628	831
653	22671	797
654	22706	762
655	22744	728
656	22797	693
657	22839	659
658	22875	624
659	22937	590
660	22976	556
661	23011	521
662	23047	486
663	23078	451
664	23111	417
665	23142	382
666	23177	347
667	23211	312
668	23245	277
669	23281	243
670	23312	208
671	23345	173
672	23376	138
673	23410	104
674	23442	69
675	23478	34
676	23510	0
