iter	Accuracy	MultiClass
102	0.8293571429	0.579315166
103	0.8301785714	0.5773325922
104	0.8302857143	0.5756028843
105	0.8305357143	0.5737042775
106	0.8308928571	0.5722402763
107	0.8316428571	0.5704827105
108	0.8316071429	0.5691651892
109	0.8321785714	0.5674535267
110	0.8325	0.5654638389
111	0.8338214286	0.563301677
112	0.8339285714	0.5612238092
113	0.8341071429	0.559430299
114	0.8344642857	0.5580764271
115	0.8351428571	0.5567581885
116	0.8353214286	0.5554382122
117	0.8360714286	0.5542185671
118	0.8365714286	0.5522888487
119	0.8376071429	0.5506206128
120	0.8375714286	0.5493539626
121	0.8381428571	0.5478767915
122	0.8381428571	0.5466205623
123	0.8389642857	0.5456063714
124	0.8393214286	0.5443909412
125	0.8395714286	0.5430234697
126	0.8398571429	0.5420627651
127	0.8399285714	0.5409892539
128	0.8401785714	0.5395303585
129	0.8405	0.5380789114
130	0.8412857143	0.5368145126
131	0.8413928571	0.5355959856
132	0.8417857143	0.534371704
133	0.842	0.5333809709
134	0.8422857143	0.5327044455
135	0.8425714286	0.531853217
136	0.8426428571	0.5306840827
137	0.8431785714	0.5291007142
138	0.8433571429	0.5281132245
139	0.8440714286	0.5264258342
140	0.8443214286	0.525556351
141	0.8445357143	0.524915655
142	0.84475	0.5241127145
143	0.8450714286	0.5233908157
144	0.8458571429	0.5223104134
145	0.8459642857	0.5214854281
146	0.8460357143	0.5206576479
147	0.8467142857	0.5199694906
148	0.8472142857	0.519020578
149	0.8473214286	0.5182499022
150	0.8475714286	0.5175635233
151	0.848	0.5167616424
152	0.8481428571	0.5158936114
153	0.8484642857	0.5150045404
154	0.84875	0.5138756615
155	0.8490714286	0.5132392987
156	0.8495	0.512488727
157	0.8498928571	0.511781217
158	0.8505	0.5108842065
159	0.8507142857	0.5097787572
160	0.8509285714	0.5088384241
161	0.8510714286	0.5083226751
162	0.852	0.5067541559
163	0.8524642857	0.5060930586
164	0.8529285714	0.5053310887
165	0.8532857143	0.5043878893
166	0.8535	0.5037674929
167	0.85375	0.5033037598
168	0.8541071429	0.5022720098
169	0.8536428571	0.5017992681
170	0.8538571429	0.501117476
171	0.8542857143	0.5004316431
172	0.8543571429	0.4999884525
173	0.8548928571	0.4991250996
174	0.8558214286	0.4984109995
175	0.8562857143	0.4971662433
176	0.8569285714	0.4963904412
177	0.8568571429	0.4958059958
178	0.8565714286	0.4952408169
179	0.8570357143	0.4944427794
180	0.8571785714	0.4937579846
181	0.8577142857	0.4929940632
182	0.8579642857	0.4926078785
183	0.8581428571	0.4919759466
184	0.85825	0.490858195
185	0.8587857143	0.4904300784
186	0.8587857143	0.4897263258
187	0.8590714286	0.4887744164
188	0.8593571429	0.4882769184
189	0.8598928571	0.4876228655
190	0.8602142857	0.4871267056
191	0.8603928571	0.4866569079
192	0.8607857143	0.485949481
193	0.8608214286	0.4852152938
194	0.8612857143	0.4848306651
195	0.8615357143	0.484422133
196	0.8616428571	0.484033618
197	0.8616785714	0.4835839667
198	0.86175	0.4829347404
199	0.8615357143	0.4825329978
200	0.8623214286	0.4819409204
201	0.8624285714	0.4812593079
202	0.8627142857	0.4808297161
203	0.8626785714	0.4802364363
204	0.8632142857	0.4797774003
205	0.8632142857	0.4791548781
206	0.8634642857	0.4786338612
207	0.8641785714	0.4781195836
208	0.8642857143	0.4775114448
209	0.8645357143	0.477105816
210	0.8648214286	0.4761483453
211	0.8650714286	0.4756486865
212	0.8654285714	0.4751313185
213	0.8656428571	0.4745039593
214	0.8660357143	0.4737898943
215	0.8665714286	0.4734053324
216	0.8668928571	0.4727376434
217	0.8671785714	0.4723144931
218	0.8671785714	0.4718793359
219	0.8673214286	0.4714786847
220	0.8675714286	0.4710602222
221	0.8678214286	0.4706913578
222	0.86825	0.4704015014
223	0.8684642857	0.4698468162
224	0.8683928571	0.4692323387
225	0.8686428571	0.4684408878
226	0.8689642857	0.4679220961
227	0.8690714286	0.4673774747
228	0.8695357143	0.4670567765
229	0.8696785714	0.4666024585
230	0.8699285714	0.4662976448
231	0.8702142857	0.4655725638
232	0.8703928571	0.4651803953
233	0.8705	0.4648328839
234	0.8705714286	0.4644053424
235	0.8707857143	0.4637205176
236	0.8711071429	0.4632705291
237	0.8716071429	0.462594734
238	0.872	0.4620724008
239	0.8719642857	0.4615492537
240	0.8724285714	0.4610241411
241	0.8726071429	0.4604117186
242	0.8730357143	0.4598807107
243	0.8732142857	0.4594840285
244	0.8733928571	0.4589190072
245	0.8737142857	0.458438682
246	0.8741071429	0.4581211815
247	0.8741785714	0.4576428841
248	0.8744285714	0.4572939356
249	0.8747857143	0.4568500734
250	0.8751071429	0.4564780571
251	0.8752857143	0.4559226139
252	0.8755357143	0.4556171114
253	0.8755714286	0.4551498659
254	0.8758928571	0.4543989821
255	0.8761785714	0.4541015617
256	0.8766785714	0.4533896673
257	0.8766785714	0.4530331648
258	0.8769285714	0.452511332
259	0.8772142857	0.452085467
260	0.8778928571	0.4516773885
261	0.878	0.4513113907
262	0.87825	0.4508252601
263	0.8783928571	0.4501684534
264	0.8785	0.4495539941
265	0.879	0.4490523647
266	0.87925	0.448620755
267	0.8793214286	0.4480648763
268	0.8793571429	0.447652656
269	0.8794285714	0.4471939664
270	0.87975	0.4467431322
271	0.8798214286	0.4464626335
272	0.8803214286	0.4459481879
273	0.8803928571	0.4454590431
274	0.8806428571	0.445025158
275	0.8805714286	0.4446407707
276	0.8807857143	0.4439484363
277	0.8810357143	0.4436740366
278	0.8811428571	0.4434473709
279	0.8813928571	0.4426086931
280	0.8815	0.4422305546
281	0.8815	0.4415474396
282	0.8816785714	0.4412289588
283	0.8818214286	0.4408272373
284	0.8819642857	0.4404126159
285	0.88225	0.4398398953
286	0.8826071429	0.4393612826
287	0.88275	0.4389793023
288	0.8826785714	0.4384777547
289	0.8828928571	0.4380964383
290	0.8830357143	0.4376278418
291	0.8832142857	0.4372151734
292	0.8834285714	0.4368305011
293	0.8836785714	0.4362988574
294	0.8835357143	0.4359693115
295	0.88375	0.4356669381
296	0.8839642857	0.435242316
297	0.8842857143	0.4348897321
298	0.8842857143	0.4343733043
299	0.8844642857	0.4341328657
300	0.8846071429	0.4336824545
301	0.8846785714	0.4334471643
302	0.8850357143	0.4330828131
303	0.8849285714	0.4326824959
304	0.8850357143	0.4323131248
305	0.8851428571	0.4319335624
306	0.8852857143	0.4315608679
307	0.8856071429	0.4312406856
308	0.88575	0.4308998128
309	0.8859285714	0.4302932269
310	0.8858928571	0.430001163
311	0.8859285714	0.4294785361
312	0.8861428571	0.4290265284
313	0.8865357143	0.4286599557
314	0.8866785714	0.4282942104
315	0.8870357143	0.4279132695
316	0.8873571429	0.4271203051
317	0.8875714286	0.4267628102
318	0.8877142857	0.4262833618
319	0.8874642857	0.4258558199
320	0.8877142857	0.4255289185
321	0.8879642857	0.4253193979
322	0.8882142857	0.424764616
323	0.8882857143	0.4243609796
324	0.8885	0.4240288223
325	0.88875	0.4236084577
326	0.8891428571	0.4231529476
327	0.8892857143	0.4228295191
328	0.8895	0.4223858738
329	0.8898571429	0.4219736487
330	0.89	0.4216280055
331	0.8901071429	0.4213403466
332	0.8905	0.4210539942
333	0.8903214286	0.4207936379
334	0.89075	0.4204405118
335	0.8907142857	0.420151848
336	0.891	0.4198345552
337	0.8915357143	0.4193375178
338	0.8918571429	0.4190300785
339	0.8918571429	0.4185274163
340	0.8921071429	0.4180538673
341	0.8922142857	0.4177613331
342	0.8923928571	0.4173479514
343	0.8925714286	0.4170739358
344	0.8928214286	0.4168752738
345	0.8929285714	0.4166715676
346	0.8931071429	0.4162804185
347	0.8932857143	0.4159848174
348	0.8931428571	0.4155260928
349	0.8934285714	0.4152433813
350	0.8935714286	0.4149022204
351	0.8935357143	0.4145996602
352	0.8935714286	0.4141890823
353	0.8938214286	0.4137161681
354	0.8938928571	0.4134697209
355	0.894	0.4130080013
356	0.8938928571	0.4127720476
357	0.8941785714	0.4123239361
358	0.8944285714	0.4120064781
359	0.8943571429	0.4115033676
360	0.8942142857	0.4111171414
361	0.8943928571	0.410850993
362	0.8947142857	0.4104172678
363	0.8946428571	0.4099058548
364	0.8948214286	0.4095165535
365	0.8950357143	0.4092012453
366	0.8951785714	0.4087257514
367	0.8955	0.4081423288
368	0.8958928571	0.4078757364
369	0.8961428571	0.4075181078
370	0.896	0.4072244619
371	0.8962142857	0.4070402957
372	0.8966428571	0.4065605974
373	0.8968928571	0.4060992411
374	0.8970714286	0.4057695097
375	0.8972857143	0.4051804246
376	0.8975714286	0.4047829528
377	0.8978928571	0.4042278029
378	0.8978214286	0.4039045628
379	0.8980357143	0.4035205323
380	0.8979642857	0.4031022905
381	0.8984642857	0.4026794304
382	0.8984642857	0.4022605342
383	0.8988214286	0.401837908
384	0.8991428571	0.4014545489
385	0.8995	0.4011631088
386	0.8995	0.4008758378
387	0.8996428571	0.4004516665
388	0.8995714286	0.4002066206
389	0.8998571429	0.3998105802
390	0.9000714286	0.3996100428
391	0.9000714286	0.399310865
392	0.9003214286	0.3990091441
393	0.9004285714	0.3987004064
394	0.90075	0.3984075594
395	0.9008571429	0.3980765519
396	0.9010714286	0.3976997361
397	0.9012142857	0.3971530108
398	0.9012857143	0.396851002
399	0.9013928571	0.3964787817
400	0.9014285714	0.3962181958
401	0.9018214286	0.3959071841
402	0.9018214286	0.3957023636
403	0.902	0.3952897169
404	0.9021428571	0.3950383566
405	0.9022857143	0.3947003364
406	0.9022857143	0.3943878904
407	0.9024642857	0.3940445511
408	0.9026428571	0.3936957667
409	0.9026428571	0.3933076063
410	0.9026785714	0.392976272
411	0.9031071429	0.392714029
412	0.9030714286	0.3922693371
413	0.9031785714	0.3918557093
414	0.90325	0.3915260268
415	0.9035	0.391129541
416	0.9036428571	0.390801781
417	0.9038571429	0.3905625425
418	0.9042142857	0.3903567948
419	0.9046785714	0.3900879702
420	0.9046428571	0.3897958089
421	0.9046785714	0.389484024
422	0.9047142857	0.3891486821
423	0.9048214286	0.3888445504
424	0.9048571429	0.388578929
425	0.905	0.3882857259
426	0.90525	0.3879100435
427	0.9055714286	0.3874204629
428	0.9058214286	0.3871135854
429	0.9059642857	0.3867721456
430	0.9059285714	0.3863847651
431	0.9058928571	0.3861474073
432	0.9064285714	0.3857437244
433	0.9067857143	0.3853548792
434	0.9067857143	0.3850506506
435	0.907	0.3848031637
436	0.9070357143	0.3843287419
437	0.9068571429	0.384150043
438	0.9071071429	0.3838647223
439	0.90725	0.3834260655
440	0.9073214286	0.3831131871
441	0.9074285714	0.3827866006
442	0.9075	0.3825191524
443	0.9075714286	0.3821605708
444	0.9075714286	0.3818692305
445	0.9076428571	0.3816771763
446	0.9076428571	0.381483426
447	0.9076785714	0.3811923417
448	0.9076785714	0.3809245819
449	0.9077857143	0.3807716149
450	0.9081428571	0.3804285539
451	0.9082142857	0.3802399763
452	0.9082857143	0.3798703922
453	0.9081785714	0.3795353077
454	0.9083214286	0.3793650648
455	0.9084285714	0.3790926492
456	0.9085357143	0.378793887
457	0.9087142857	0.378587551
458	0.9088214286	0.378285814
459	0.9091071429	0.3780808268
460	0.9094285714	0.377698803
461	0.9094285714	0.3773828644
462	0.9095	0.3770433516
463	0.90975	0.3769302875
464	0.9097142857	0.3767823018
465	0.9098571429	0.3765279822
466	0.9102142857	0.3760188671
467	0.9103571429	0.3757010507
468	0.9105	0.375468833
469	0.9104285714	0.3750972428
470	0.9106785714	0.3746840994
471	0.9107857143	0.3743618596
472	0.9111071429	0.3741242791
473	0.9110714286	0.373826109
474	0.9111785714	0.3735819799
475	0.9115357143	0.373194069
476	0.9118214286	0.3728476032
477	0.9118928571	0.3725240433
478	0.9120357143	0.3723392087
479	0.9121785714	0.3720148067
480	0.9122142857	0.3717880889
481	0.9121785714	0.37157755
482	0.9123928571	0.3712956934
483	0.9123928571	0.3710451321
484	0.9126071429	0.3707223114
485	0.9126428571	0.370467476
486	0.9127142857	0.3701787992
487	0.9128928571	0.3697472829
488	0.9128571429	0.3695241506
489	0.9128928571	0.3691220897
490	0.9131071429	0.3688634928
491	0.9132142857	0.3686175683
492	0.9131785714	0.3683287967
493	0.9133214286	0.3681434269
494	0.9133928571	0.3679011395
495	0.9135	0.3676172242
496	0.9134285714	0.3672037306
497	0.9136071429	0.3669406327
498	0.9140357143	0.3667000508
499	0.9141071429	0.3663973583
500	0.91425	0.3660834104
501	0.91425	0.3658574304
502	0.9143214286	0.3656456784
503	0.9144285714	0.365417854
504	0.9143928571	0.3650821861
505	0.9145357143	0.3647338623
506	0.9147142857	0.3644893273
507	0.9149285714	0.3643666472
508	0.9152857143	0.3640658696
509	0.9151785714	0.3637270129
510	0.91525	0.3635536891
511	0.9150714286	0.363228565
512	0.9151071429	0.3629402495
513	0.9155	0.3626456583
514	0.9156428571	0.3623153108
515	0.9159642857	0.3619061887
516	0.9159642857	0.361650476
517	0.9162142857	0.3613479316
518	0.91625	0.3610137956
519	0.9163214286	0.3608248383
520	0.9164642857	0.3606099373
521	0.9166785714	0.3602508634
522	0.9165714286	0.3600043879
523	0.91675	0.3597902361
524	0.9168928571	0.3595983357
525	0.9171071429	0.35923757
526	0.9168928571	0.3590059623
527	0.9169285714	0.358705542
528	0.9173571429	0.3583336323
529	0.9173214286	0.3580377582
530	0.9173928571	0.3577592352
531	0.9176071429	0.3575505656
532	0.9176071429	0.3573386722
533	0.9176785714	0.3570501397
534	0.9177857143	0.3567108542
535	0.9181071429	0.3562879184
536	0.9181071429	0.3560071262
537	0.9180714286	0.3557234657
538	0.9181071429	0.3554741161
539	0.9183571429	0.3551842287
540	0.9185	0.3548329052
541	0.9185357143	0.3545751213
542	0.9183214286	0.354310096
543	0.9184642857	0.3539662589
544	0.9187142857	0.3537494683
545	0.9188214286	0.3534665506
546	0.9188928571	0.3532073873
547	0.9189642857	0.3529517541
548	0.919	0.3527055928
549	0.9191071429	0.3525441194
550	0.9192857143	0.3522248053
551	0.9193928571	0.3520546519
552	0.9193571429	0.3518222109
553	0.9196785714	0.3514981853
554	0.9198571429	0.35116477
555	0.9201071429	0.3508847658
556	0.9202142857	0.3506769364
557	0.9201785714	0.3503870953
558	0.9203214286	0.3501758616
559	0.9202857143	0.34987237
560	0.9202857143	0.3495732686
561	0.9207142857	0.3491264018
562	0.9208571429	0.3487427315
563	0.9210357143	0.3485440642
564	0.921	0.3483321808
565	0.9212857143	0.3481022874
566	0.9215	0.3477100042
567	0.9216428571	0.347408094
568	0.9218571429	0.347179933
569	0.9218214286	0.3468372835
570	0.9217857143	0.3466647298
571	0.9219642857	0.3463298306
572	0.9221071429	0.3461546329
573	0.9221428571	0.3458946344
574	0.92225	0.3456417294
575	0.9222142857	0.3453453844
576	0.92225	0.3451757316
577	0.9222142857	0.345034367
578	0.9224285714	0.3446907939
579	0.9224285714	0.3444141653
580	0.9223928571	0.3441739654
581	0.9224642857	0.3438497838
582	0.9224642857	0.3436514715
583	0.9224642857	0.3435029942
584	0.92275	0.3432725151
585	0.92275	0.3430558466
586	0.9227142857	0.3429060189
587	0.92275	0.3426519944
588	0.9228571429	0.3424897938
589	0.9229642857	0.3422650491
590	0.9230714286	0.342017014
591	0.9231071429	0.3418365443
592	0.9232857143	0.3415709538
593	0.9233571429	0.3413728525
594	0.9234285714	0.3411861059
595	0.9235	0.3410243566
596	0.9236428571	0.3408839056
597	0.9236785714	0.340646398
598	0.9237142857	0.3403462287
599	0.9238214286	0.3400488897
600	0.9237857143	0.339877931
601	0.9238928571	0.339592079
602	0.9239285714	0.3394220053
603	0.9240357143	0.3391439614
604	0.9241071429	0.3388853042
605	0.9243214286	0.3385901731
606	0.9242142857	0.3383392195
607	0.9243928571	0.3381322261
608	0.9244642857	0.3379430244
609	0.9246071429	0.3377043098
610	0.9245714286	0.3375935988
611	0.9245	0.3373256211
612	0.9246428571	0.3370274326
613	0.92475	0.336789647
614	0.9247857143	0.3365846314
615	0.925	0.3363612286
616	0.92525	0.3361096199
617	0.9251785714	0.3359262231
618	0.9251071429	0.3357064358
619	0.9253214286	0.3355178297
620	0.9253214286	0.3352420347
621	0.9254285714	0.3349940627
622	0.9254285714	0.3346804409
623	0.9255357143	0.334481905
624	0.9255	0.3341308174
625	0.9255357143	0.3338369208
626	0.9258571429	0.3336106705
627	0.9260714286	0.3333613094
628	0.9262142857	0.3330465964
629	0.92625	0.3328563235
630	0.9263214286	0.3326754087
631	0.9265357143	0.3322454713
632	0.9263214286	0.331999392
633	0.9264642857	0.331849549
634	0.9264642857	0.3315742826
635	0.9265357143	0.3313699818
636	0.9265714286	0.3311491029
637	0.9265714286	0.3309126809
638	0.9268214286	0.330666961
639	0.9268928571	0.3304000241
640	0.9272142857	0.3300631292
641	0.9271071429	0.3298123125
642	0.9271428571	0.3296030497
643	0.9270357143	0.3294481715
644	0.9271428571	0.3291877808
645	0.9271428571	0.3289995522
646	0.9273214286	0.3287293814
647	0.9274285714	0.3284508977
648	0.9273571429	0.3282057007
649	0.9273571429	0.3278936372
650	0.9275714286	0.3276105267
651	0.9277142857	0.3273934644
652	0.92775	0.3271575031
653	0.92775	0.3269221529
654	0.9277142857	0.3267788241
655	0.928	0.3264160648
656	0.928	0.3261759091
657	0.9279285714	0.3260223679
658	0.928	0.3258087933
659	0.9281428571	0.3255772036
660	0.9283214286	0.3252657913
661	0.9283928571	0.3249838176
662	0.9283214286	0.324798238
663	0.9284642857	0.3245636371
664	0.9286428571	0.3243560917
665	0.9286785714	0.3241050635
666	0.9286785714	0.3239313415
667	0.9283928571	0.3236748846
668	0.9285357143	0.3234783932
669	0.9286428571	0.3232348422
670	0.9288571429	0.3230269927
671	0.9287857143	0.32271543
672	0.9289642857	0.3224705379
673	0.9289285714	0.3222126597
674	0.9290714286	0.3219868597
675	0.9291071429	0.3218154664
676	0.9291785714	0.3215180355
